SampleID,treatment,crop,harvest,drought,planted,summarise,summarise_new,dna_rna
cDNA_243,H5WW(P1),bean,Day 6,watered,planted,Day 6planted,watered_planted,RNA
cDNA_244,H5WW(P2),bean,Day 6,watered,planted,Day 6planted,watered_planted,RNA
cDNA_245,H5WW(P3),bean,Day 6,watered,planted,Day 6planted,watered_planted,RNA
cDNA_246,H5WW(P4),bean,Day 6,watered,planted,Day 6planted,watered_planted,RNA
cDNA_247,H5WW(P5),bean,Day 6,watered,planted,Day 6planted,watered_planted,RNA
cDNA_248,H5WW(U1),bean,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,RNA
cDNA_249,H5WW(U2),bean,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,RNA
cDNA_250,H5WW(U3),bean,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,RNA
cDNA_251,H5WW(U4),bean,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,RNA
cDNA_252,H5WW(U5),bean,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,RNA
cDNA_1,PreDr(P1),switchgrass,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,RNA
cDNA_2,PreDr(P2),switchgrass,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,RNA
cDNA_3,PreDr(P3),switchgrass,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,RNA
cDNA_4,PreDr(P4),switchgrass,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,RNA
cDNA_5,PreDr(P5),switchgrass,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,RNA
cDNA_6,PreDr(U1),switchgrass,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,RNA
cDNA_7,PreDr(U2),switchgrass,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,RNA
cDNA_8,PreDr(U3),switchgrass,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,RNA
cDNA_9,PreDr(U4),switchgrass,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,RNA
cDNA_10,PreDr(U5),switchgrass,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,RNA
cDNA_13,H1Dr(P1),switchgrass,Day 2,drought,planted,Day 2planted,drought_planted,RNA
cDNA_14,H1Dr(P2),switchgrass,Day 2,drought,planted,Day 2planted,drought_planted,RNA
cDNA_15,H1Dr(P3),switchgrass,Day 2,drought,planted,Day 2planted,drought_planted,RNA
cDNA_16,H1Dr(P4),switchgrass,Day 2,drought,planted,Day 2planted,drought_planted,RNA
cDNA_17,H1Dr(P5),switchgrass,Day 2,drought,planted,Day 2planted,drought_planted,RNA
cDNA_18,H1Dr(U1),switchgrass,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,RNA
cDNA_19,H1Dr(U2),switchgrass,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,RNA
cDNA_20,H1Dr(U3),switchgrass,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,RNA
cDNA_21,H1Dr(U4),switchgrass,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,RNA
cDNA_22,H1Dr(U5),switchgrass,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,RNA
cDNA_25,H2Dr(P1),switchgrass,Day 3,drought,planted,Day 3planted,drought_planted,RNA
cDNA_26,H2Dr(P2),switchgrass,Day 3,drought,planted,Day 3planted,drought_planted,RNA
cDNA_27,H2Dr(P3),switchgrass,Day 3,drought,planted,Day 3planted,drought_planted,RNA
cDNA_28,H2Dr(P4),switchgrass,Day 3,drought,planted,Day 3planted,drought_planted,RNA
cDNA_29,H2Dr(P5),switchgrass,Day 3,drought,planted,Day 3planted,drought_planted,RNA
cDNA_30,H2Dr(U1),switchgrass,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,RNA
cDNA_31,H2Dr(U2),switchgrass,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,RNA
cDNA_32,H2Dr(U3),switchgrass,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,RNA
cDNA_33,H2Dr(U4),switchgrass,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,RNA
cDNA_34,H2Dr(U5),switchgrass,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,RNA
cDNA_37,H3Dr(P1),switchgrass,Day 4,drought,planted,Day 4planted,drought_planted,RNA
cDNA_38,H3Dr(P2),switchgrass,Day 4,drought,planted,Day 4planted,drought_planted,RNA
cDNA_39,H3Dr(P3),switchgrass,Day 4,drought,planted,Day 4planted,drought_planted,RNA
cDNA_40,H3Dr(P4),switchgrass,Day 4,drought,planted,Day 4planted,drought_planted,RNA
cDNA_41,H3Dr(P5),switchgrass,Day 4,drought,planted,Day 4planted,drought_planted,RNA
cDNA_42,H3Dr(U1),switchgrass,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,RNA
cDNA_43,H3Dr(U2),switchgrass,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,RNA
cDNA_44,H3Dr(U3),switchgrass,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,RNA
cDNA_45,H3Dr(U4),switchgrass,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,RNA
cDNA_46,H3Dr(U5),switchgrass,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,RNA
cDNA_49,H4Dr(P1),switchgrass,Day 5,drought,planted,Day 5planted,drought_planted,RNA
cDNA_50,H4Dr(P2),switchgrass,Day 5,drought,planted,Day 5planted,drought_planted,RNA
cDNA_51,H4Dr(P3),switchgrass,Day 5,drought,planted,Day 5planted,drought_planted,RNA
cDNA_52,H4Dr(P4),switchgrass,Day 5,drought,planted,Day 5planted,drought_planted,RNA
cDNA_53,H4Dr(P5),switchgrass,Day 5,drought,planted,Day 5planted,drought_planted,RNA
cDNA_54,H4Dr(U1),switchgrass,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,RNA
cDNA_55,H4Dr(U2),switchgrass,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,RNA
cDNA_56,H4Dr(U3),switchgrass,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,RNA
cDNA_57,H4Dr(U4),switchgrass,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,RNA
cDNA_58,H4Dr(U5),switchgrass,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,RNA
cDNA_59,H5Dr(P1),switchgrass,Day 6,drought,planted,Day 6planted,drought_planted,RNA
cDNA_60,H5Dr(P2),switchgrass,Day 6,drought,planted,Day 6planted,drought_planted,RNA
cDNA_61,H5Dr(P3),switchgrass,Day 6,drought,planted,Day 6planted,drought_planted,RNA
cDNA_62,H5Dr(P4),switchgrass,Day 6,drought,planted,Day 6planted,drought_planted,RNA
cDNA_63,H5Dr(P5),switchgrass,Day 6,drought,planted,Day 6planted,drought_planted,RNA
cDNA_64,H5Dr(U1),switchgrass,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,RNA
cDNA_65,H5Dr(U2),switchgrass,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,RNA
cDNA_66,H5Dr(U3),switchgrass,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,RNA
cDNA_67,H5Dr(U4),switchgrass,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,RNA
cDNA_68,H5Dr(U5),switchgrass,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,RNA
cDNA_71,H1WW(P1),switchgrass,Day 2,watered,planted,Day 2planted,watered_planted,RNA
cDNA_72,H1WW(P2),switchgrass,Day 2,watered,planted,Day 2planted,watered_planted,RNA
cDNA_73,H1WW(P3),switchgrass,Day 2,watered,planted,Day 2planted,watered_planted,RNA
cDNA_74,H1WW(P4),switchgrass,Day 2,watered,planted,Day 2planted,watered_planted,RNA
cDNA_75,H1WW(P5),switchgrass,Day 2,watered,planted,Day 2planted,watered_planted,RNA
cDNA_76,H1WW(U1),switchgrass,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,RNA
cDNA_77,H1WW(U2),switchgrass,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,RNA
cDNA_78,H1WW(U3),switchgrass,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,RNA
cDNA_79,H1WW(U4),switchgrass,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,RNA
cDNA_80,H1WW(U5),switchgrass,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,RNA
cDNA_81,H2WW(P1),switchgrass,Day 3,watered,planted,Day 3planted,watered_planted,RNA
cDNA_82,H2WW(P2),switchgrass,Day 3,watered,planted,Day 3planted,watered_planted,RNA
cDNA_83,H2WW(P3),switchgrass,Day 3,watered,planted,Day 3planted,watered_planted,RNA
cDNA_84,H2WW(P4),switchgrass,Day 3,watered,planted,Day 3planted,watered_planted,RNA
cDNA_85,H2WW(P5),switchgrass,Day 3,watered,planted,Day 3planted,watered_planted,RNA
cDNA_86,H2WW(U1),switchgrass,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,RNA
cDNA_87,H2WW(U2),switchgrass,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,RNA
cDNA_88,H2WW(U3),switchgrass,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,RNA
cDNA_89,H2WW(U4),switchgrass,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,RNA
cDNA_90,H2WW(U5),switchgrass,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,RNA
cDNA_93,H3WW(P1),switchgrass,Day 4,watered,planted,Day 4planted,watered_planted,RNA
cDNA_94,H3WW(P2),switchgrass,Day 4,watered,planted,Day 4planted,watered_planted,RNA
cDNA_95,H3WW(P3),switchgrass,Day 4,watered,planted,Day 4planted,watered_planted,RNA
cDNA_96,H3WW(P4),switchgrass,Day 4,watered,planted,Day 4planted,watered_planted,RNA
cDNA_97,H3WW(P5),switchgrass,Day 4,watered,planted,Day 4planted,watered_planted,RNA
cDNA_98,H3WW(U1),switchgrass,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,RNA
cDNA_99,H3WW(U2),switchgrass,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,RNA
cDNA_100,H3WW(U3),switchgrass,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,RNA
cDNA_101,H3WW(U4),switchgrass,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,RNA
cDNA_102,H3WW(U5),switchgrass,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,RNA
cDNA_105,H4WW(P1),switchgrass,Day 5,watered,planted,Day 5planted,watered_planted,RNA
cDNA_106,H4WW(P2),switchgrass,Day 5,watered,planted,Day 5planted,watered_planted,RNA
cDNA_107,H4WW(P3),switchgrass,Day 5,watered,planted,Day 5planted,watered_planted,RNA
cDNA_108,H4WW(P4),switchgrass,Day 5,watered,planted,Day 5planted,watered_planted,RNA
cDNA_109,H4WW(P5),switchgrass,Day 5,watered,planted,Day 5planted,watered_planted,RNA
cDNA_110,H4WW(U1),switchgrass,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,RNA
cDNA_111,H4WW(U2),switchgrass,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,RNA
cDNA_112,H4WW(U3),switchgrass,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,RNA
cDNA_113,H4WW(U4),switchgrass,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,RNA
cDNA_114,H4WW(U5),switchgrass,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,RNA
cDNA_115,H5WW(P1),switchgrass,Day 6,watered,planted,Day 6planted,watered_planted,RNA
cDNA_116,H5WW(P2),switchgrass,Day 6,watered,planted,Day 6planted,watered_planted,RNA
cDNA_117,H5WW(P3),switchgrass,Day 6,watered,planted,Day 6planted,watered_planted,RNA
cDNA_118,H5WW(P4),switchgrass,Day 6,watered,planted,Day 6planted,watered_planted,RNA
cDNA_119,H5WW(P5),switchgrass,Day 6,watered,planted,Day 6planted,watered_planted,RNA
cDNA_122,H5WW(U1),switchgrass,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,RNA
cDNA_123,H5WW(U2),switchgrass,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,RNA
cDNA_124,H5WW(U3),switchgrass,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,RNA
cDNA_125,H5WW(U4),switchgrass,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,RNA
cDNA_126,H5WW(U5),switchgrass,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,RNA
