SampleID,treatment,crop,harvest,drought,planted,summarise,summarise_new,dna_rna
DNA_175,H4Dr(P3),bean,Day 5,drought,planted,Day 5planted,drought_planted,DNA
DNA_176,H4Dr(P4),bean,Day 5,drought,planted,Day 5planted,drought_planted,DNA
DNA_177,H4Dr(P5),bean,Day 5,drought,planted,Day 5planted,drought_planted,DNA
DNA_180,H4Dr(U1),bean,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,DNA
DNA_181,H4Dr(U2),bean,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,DNA
DNA_182,H4Dr(U3),bean,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,DNA
DNA_183,H4Dr(U4),bean,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,DNA
DNA_184,H4Dr(U5),bean,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,DNA
DNA_185,H5Dr(P1),bean,Day 6,drought,planted,Day 6planted,drought_planted,DNA
DNA_186,H5Dr(P2),bean,Day 6,drought,planted,Day 6planted,drought_planted,DNA
DNA_187,H5Dr(P3),bean,Day 6,drought,planted,Day 6planted,drought_planted,DNA
DNA_188,H5Dr(P4),bean,Day 6,drought,planted,Day 6planted,drought_planted,DNA
DNA_189,H5Dr(P5),bean,Day 6,drought,planted,Day 6planted,drought_planted,DNA
DNA_190,H5Dr(U1),bean,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,DNA
DNA_191,H5Dr(U2),bean,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,DNA
DNA_192,H5Dr(U3),bean,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,DNA
DNA_193,H5Dr(U4),bean,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,DNA
DNA_194,H5Dr(U5),bean,Day 6,drought,unplanted,Day 6unplanted,drought_unplanted,DNA
DNA_197,H1WW(P1),bean,Day 2,watered,planted,Day 2planted,watered_planted,DNA
DNA_198,H1WW(P2),bean,Day 2,watered,planted,Day 2planted,watered_planted,DNA
DNA_199,H1WW(P3),bean,Day 2,watered,planted,Day 2planted,watered_planted,DNA
DNA_200,H1WW(P4),bean,Day 2,watered,planted,Day 2planted,watered_planted,DNA
DNA_201,H1WW(P5),bean,Day 2,watered,planted,Day 2planted,watered_planted,DNA
DNA_202,H1WW(U1),bean,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,DNA
DNA_203,H1WW(U2),bean,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,DNA
DNA_204,H1WW(U3),bean,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,DNA
DNA_205,H1WW(U4),bean,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,DNA
DNA_206,H1WW(U5),bean,Day 2,watered,unplanted,Day 2unplanted,watered_unplanted,DNA
DNA_209,H2WW(P1),bean,Day 3,watered,planted,Day 3planted,watered_planted,DNA
DNA_210,H2WW(P2),bean,Day 3,watered,planted,Day 3planted,watered_planted,DNA
DNA_211,H2WW(P3),bean,Day 3,watered,planted,Day 3planted,watered_planted,DNA
DNA_212,H2WW(P4),bean,Day 3,watered,planted,Day 3planted,watered_planted,DNA
DNA_213,H2WW(P5),bean,Day 3,watered,planted,Day 3planted,watered_planted,DNA
DNA_214,H2WW(U1),bean,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,DNA
DNA_215,H2WW(U2),bean,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,DNA
DNA_216,H2WW(U3),bean,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,DNA
DNA_217,H2WW(U4),bean,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,DNA
DNA_218,H2WW(U5),bean,Day 3,watered,unplanted,Day 3unplanted,watered_unplanted,DNA
